KRW-ETH,2022-03-21 19:03:04,2022-03-21 19:08:04,3553000.0,3556000.0,0.12665353,450154.76270365994,
KRW-ETH,2022-03-21 19:26:08,2022-03-21 19:26:08,3551000.0,3550000.0,0.12672487,449648.35185574996,
KRW-ETH,2022-03-21 19:26:30,2022-03-21 19:26:31,3551000.0,3551000.0,0.12672487,449775.01336331497,
KRW-ETH,2022-03-21 19:26:46,2022-03-21 19:26:46,3551000.0,3550000.0,0.12672487,449648.35185574996,
KRW-ETH,KRW-ETH,2022-03-21 21:24:41,3551000.0,3545000.0,0.12672487,449015.044317925,449141.70582548995,449648.35185574996,449141.70582548995,2022-03-21,2022-03-21,2022-03-21,449775.01336331497,449775.01336331497,449521.690348185,2022-03-21,2022-03-21,2022-03-21,2022-03-21,2022-03-21,2022-03-21,
KRW-ADA,KRW-ADA,2022-03-21 21:24:42,1095.0,1100.0,410.9589041,451828.76711274503,449774.9999895053,449774.9999895053,
KRW-ETH,KRW-ETH,2022-03-21 21:29:41,3551000.0,3548000.0,0.12672487,449395.02884061995,449015.044317925,449141.70582548995,449648.35185574996,449141.70582548995,2022-03-21,2022-03-21,2022-03-21,449775.01336331497,449775.01336331497,449521.690348185,2022-03-21,2022-03-21,2022-03-21,2022-03-21,2022-03-21,2022-03-21,
KRW-ADA,KRW-ADA,2022-03-21 21:29:41,1095.0,1100.0,410.9589041,451828.76711274503,2022-03-21,449774.9999895053,449774.9999895053,
KRW-ETH,KRW-ETH,2022-03-21 21:34:41,3551000.0,3548000.0,0.12672487,449395.02884061995,449395.02884061995,449015.044317925,449141.70582548995,449648.35185574996,449141.70582548995,2022-03-21,2022-03-21,2022-03-21,449775.01336331497,449775.01336331497,449521.690348185,2022-03-21,2022-03-21,2022-03-21,2022-03-21,2022-03-21,2022-03-21,
KRW-ADA,KRW-ADA,2022-03-21 21:34:41,1095.0,1100.0,410.9589041,451828.76711274503,2022-03-21,2022-03-21,449774.9999895053,449774.9999895053,
KRW-ETH,KRW-ETH,2022-03-21 21:39:41,3551000.0,3549000.0,0.12672487,449521.690348185,449395.02884061995,449395.02884061995,449015.044317925,449141.70582548995,449648.35185574996,449141.70582548995,2022-03-21,2022-03-21,2022-03-21,449775.01336331497,449775.01336331497,449521.690348185,2022-03-21,2022-03-21,2022-03-21,2022-03-21,2022-03-21,2022-03-21,
KRW-ADA,KRW-ADA,2022-03-21 21:39:41,1095.0,1100.0,410.9589041,451828.76711274503,2022-03-21,2022-03-21,2022-03-21,449774.9999895053,449774.9999895053,
KRW-ETH,KRW-ETH,2022-03-21 21:44:41,3551000.0,3538000.0,0.12672487,448128.41376496997,449521.690348185,449395.02884061995,449395.02884061995,449015.044317925,449141.70582548995,449648.35185574996,449141.70582548995,2022-03-21,2022-03-21,2022-03-21,449775.01336331497,449775.01336331497,449521.690348185,2022-03-21,2022-03-21,2022-03-21,2022-03-21,2022-03-21,2022-03-21,
KRW-ADA,KRW-ADA,2022-03-21 21:44:41,1095.0,1095.0,410.9589041,449774.9999895053,2022-03-21,2022-03-21,2022-03-21,2022-03-21,449774.9999895053,449774.9999895053,
KRW-ETH,KRW-ETH,2022-03-21 21:49:41,3551000.0,3541000.0,0.12672487,448508.398287665,448128.41376496997,449521.690348185,449395.02884061995,449395.02884061995,449015.044317925,449141.70582548995,449648.35185574996,449141.70582548995,2022-03-21,2022-03-21,2022-03-21,449775.01336331497,449775.01336331497,449521.690348185,2022-03-21,2022-03-21,2022-03-21,2022-03-21,2022-03-21,2022-03-21,
KRW-ADA,KRW-ADA,2022-03-21 21:49:41,1095.0,1090.0,410.9589041,447721.2328662655,449774.9999895053,2022-03-21,2022-03-21,2022-03-21,2022-03-21,449774.9999895053,449774.9999895053,
KRW-ETH,KRW-ETH,2022-03-21 21:54:41,3551000.0,3550000.0,0.12672487,449648.35185574996,448508.398287665,448128.41376496997,449521.690348185,449395.02884061995,449395.02884061995,449015.044317925,449141.70582548995,449648.35185574996,449141.70582548995,2022-03-21,2022-03-21,2022-03-21,449775.01336331497,449775.01336331497,449521.690348185,2022-03-21,2022-03-21,2022-03-21,2022-03-21,2022-03-21,2022-03-21,
KRW-ADA,KRW-ADA,2022-03-21 21:54:41,1095.0,1095.0,410.9589041,449774.9999895053,447721.2328662655,449774.9999895053,2022-03-21,2022-03-21,2022-03-21,2022-03-21,449774.9999895053,449774.9999895053,
KRW-ETH,KRW-ETH,2022-03-21 21:59:41,3551000.0,3559000.0,0.12672487,450788.305423835,449648.35185574996,448508.398287665,448128.41376496997,449521.690348185,449395.02884061995,449395.02884061995,449015.044317925,449141.70582548995,449648.35185574996,449141.70582548995,2022-03-21,2022-03-21,2022-03-21,449775.01336331497,449775.01336331497,449521.690348185,2022-03-21,2022-03-21,2022-03-21,2022-03-21,2022-03-21,2022-03-21,
KRW-ADA,KRW-ADA,2022-03-21 21:59:41,1095.0,1100.0,410.9589041,451828.76711274503,449774.9999895053,447721.2328662655,449774.9999895053,2022-03-21,2022-03-21,2022-03-21,2022-03-21,449774.9999895053,449774.9999895053,
KRW-ETH,KRW-ETH,2022-03-21 22:04:41,3551000.0,3567000.0,0.12672487,451801.597484355,2022-03-21,449648.35185574996,448508.398287665,448128.41376496997,449521.690348185,449395.02884061995,449395.02884061995,449015.044317925,449141.70582548995,449648.35185574996,449141.70582548995,2022-03-21,2022-03-21,2022-03-21,449775.01336331497,449775.01336331497,449521.690348185,2022-03-21,2022-03-21,2022-03-21,2022-03-21,2022-03-21,2022-03-21,
KRW-ADA,KRW-ADA,2022-03-21 22:04:41,1095.0,1100.0,410.9589041,451828.76711274503,2022-03-21,449774.9999895053,447721.2328662655,449774.9999895053,2022-03-21,2022-03-21,2022-03-21,2022-03-21,449774.9999895053,449774.9999895053,
